"Priority","Capability to prove","Primary OSS service","Supporting services","Best proof workflow","Value unlocked"
"1","Governed, durable multi-step execution with human approval, restart recovery and signed output","Temporal","OPA, OpenBao, Marquez, Off Grid App Worker","FNOL claim → evidence → recommendation → claims-officer approval → signed disposition","Safely process thousands of cases with the same workforce"
"1.01","[app-worker:artifact-identity] Immutable worker artifact identity — Identify the exact app-worker source, runtime dependency, launch contract, and deployed artifact before assigning work.","Off Grid App Worker","OPA, OpenBao, Marquez, Off Grid App Worker","Verify App Worker “Immutable worker artifact identity” within: FNOL claim → evidence → recommendation → claims-officer approval → signed disposition","Safely process thousands of cases with the same workforce"
"1.02","[app-worker:failure-recovery] Failure and restart recovery — Retry transient step failures and survive worker loss without duplicating side effects or losing the operator-visible run.","Off Grid App Worker","OPA, OpenBao, Marquez, Off Grid App Worker","Verify App Worker “Failure and restart recovery” within: FNOL claim → evidence → recommendation → claims-officer approval → signed disposition","Safely process thousands of cases with the same workforce"
"1.03","[app-worker:governed-step-execution] Governed step execution — Execute app steps with tenant, actor, pipeline, policy, guardrail, routing, and provenance context intact.","Off Grid App Worker","OPA, OpenBao, Marquez, Off Grid App Worker","Verify App Worker “Governed step execution” within: FNOL claim → evidence → recommendation → claims-officer approval → signed disposition","Safely process thousands of cases with the same workforce"
"1.04","[app-worker:human-pause-resume] Durable human pause and resume — Pause a multi-step app at an authority gate, preserve history, and resume or reject it through an audited decision.","Off Grid App Worker","OPA, OpenBao, Marquez, Off Grid App Worker","Verify App Worker “Durable human pause and resume” within: FNOL claim → evidence → recommendation → claims-officer approval → signed disposition","Safely process thousands of cases with the same workforce"
"1.05","[app-worker:output-persistence] Output and run-state persistence — Persist step state, final output, report artifacts, and provenance so an operator can inspect and act on the result later.","Off Grid App Worker","OPA, OpenBao, Marquez, Off Grid App Worker","Verify App Worker “Output and run-state persistence” within: FNOL claim → evidence → recommendation → claims-officer approval → signed disposition","Safely process thousands of cases with the same workforce"
"1.06","[app-worker:task-queue-readiness] Task queue and poller readiness — Confirm a compatible app worker is polling offgrid-apps before durable work is accepted.","Off Grid App Worker","OPA, OpenBao, Marquez, Off Grid App Worker","Verify App Worker “Task queue and poller readiness” within: FNOL claim → evidence → recommendation → claims-officer approval → signed disposition","Safely process thousands of cases with the same workforce"
"1.07","[marquez:openlineage-events] OpenLineage event ingestion — Accept job, run, dataset, and facet events through the OpenLineage API.","Marquez","OPA, OpenBao, Marquez, Off Grid App Worker","Verify Marquez “OpenLineage event ingestion” within: FNOL claim → evidence → recommendation → claims-officer approval → signed disposition","Safely process thousands of cases with the same workforce"
"1.08","[marquez:run-history-facets] Run history and facets — Inspect run state, timing, schema, ownership, and custom facets.","Marquez","OPA, OpenBao, Marquez, Off Grid App Worker","Verify Marquez “Run history and facets” within: FNOL claim → evidence → recommendation → claims-officer approval → signed disposition","Safely process thousands of cases with the same workforce"
"1.09","[opa:policy-decisions] Governed policy decisions — Evaluate tenant-scoped allow/deny decisions and preserve explainable evidence.","Policy Engine","OPA, OpenBao, Marquez, Off Grid App Worker","Verify Policy Engine “Governed policy decisions” within: FNOL claim → evidence → recommendation → claims-officer approval → signed disposition","Safely process thousands of cases with the same workforce"
"1.10","[temporal:durable-dispatch] Durable app, agent, and chat dispatch — Submit governed work to durable task queues and preserve run history.","Durable Workflows","OPA, OpenBao, Marquez, Off Grid App Worker","Verify Durable Workflows “Durable app, agent, and chat dispatch” within: FNOL claim → evidence → recommendation → claims-officer approval → signed disposition","Safely process thousands of cases with the same workforce"
"1.11","[temporal:run-actions] Run cancellation, retry, and replay — Intervene in a failed or long-running workflow without losing audit history.","Durable Workflows","OPA, OpenBao, Marquez, Off Grid App Worker","Verify Durable Workflows “Run cancellation, retry, and replay” within: FNOL claim → evidence → recommendation → claims-officer approval → signed disposition","Safely process thousands of cases with the same workforce"
"1.12","[temporal:worker-readiness] Worker and task-queue readiness — Know whether app, agent, and chat queues have compatible pollers before accepting work.","Durable Workflows","OPA, OpenBao, Marquez, Off Grid App Worker","Verify Durable Workflows “Worker and task-queue readiness” within: FNOL claim → evidence → recommendation → claims-officer approval → signed disposition","Safely process thousands of cases with the same workforce"
"2","Grounded reasoning across existing enterprise data, with citations and policy-constrained recommendations","Qdrant","LiteLLM, Presidio, LLM Guard","CRM + Core Banking + product rules → compliant cross-sell recommendation","Direct top-line growth without hallucinated or non-compliant recommendations"
"2.01","[enterprise-source-corebank:sql-read] Governed SQL reads — Count and read approved Core Banking tables through a bound connector.","Existing Core Banking system","LiteLLM, Presidio, LLM Guard","Verify Core Banking “Governed SQL reads” within: CRM + Core Banking + product rules → compliant cross-sell recommendation","Direct top-line growth without hallucinated or non-compliant recommendations"
"2.02","[enterprise-source-crm:rest-read] Governed REST reads — Read approved account, opportunity, and contact resources.","Existing CRM","LiteLLM, Presidio, LLM Guard","Verify CRM “Governed REST reads” within: CRM + Core Banking + product rules → compliant cross-sell recommendation","Direct top-line growth without hallucinated or non-compliant recommendations"
"2.03","[enterprise-source-policyadmin:sql-read] Governed SQL reads — Count and read approved policy-administration tables through a bound connector.","Existing Policy Administration system","LiteLLM, Presidio, LLM Guard","Verify Policy Administration “Governed SQL reads” within: CRM + Core Banking + product rules → compliant cross-sell recommendation","Direct top-line growth without hallucinated or non-compliant recommendations"
"2.04","[gateway:request-governance] Request policy and guardrail spine — Apply tenancy, policy, guardrails, routing, and audit to inference requests.","Off Grid AI Gateway","LiteLLM, Presidio, LLM Guard","Verify AI Gateway “Request policy and guardrail spine” within: CRM + Core Banking + product rules → compliant cross-sell recommendation","Direct top-line growth without hallucinated or non-compliant recommendations"
"2.05","[lancedb:tables-schema] Table and schema lifecycle — Create vector tables, inspect schema, and delete local indexes.","LanceDB","LiteLLM, Presidio, LLM Guard","Verify LanceDB “Table and schema lifecycle” within: CRM + Core Banking + product rules → compliant cross-sell recommendation","Direct top-line growth without hallucinated or non-compliant recommendations"
"2.06","[lancedb:vector-search] Vector search and metadata filters — Insert embedded chunks and retrieve nearest records with metadata constraints.","LanceDB","LiteLLM, Presidio, LLM Guard","Verify LanceDB “Vector search and metadata filters” within: CRM + Core Banking + product rules → compliant cross-sell recommendation","Direct top-line growth without hallucinated or non-compliant recommendations"
"2.07","[litellm:proxy-guardrails] Proxy guardrails and policy hooks — Run supported guardrails in the proxy before or after model calls.","LiteLLM","LiteLLM, Presidio, LLM Guard","Verify LiteLLM “Proxy guardrails and policy hooks” within: CRM + Core Banking + product rules → compliant cross-sell recommendation","Direct top-line growth without hallucinated or non-compliant recommendations"
"2.08","[llm-guard:api-auth-rate-limits] Authenticated and bounded scan API — Protect scan endpoints with bearer/basic authentication and configurable request limits.","Content guardrails","LiteLLM, Presidio, LLM Guard","Verify Content guardrails “Authenticated and bounded scan API” within: CRM + Core Banking + product rules → compliant cross-sell recommendation","Direct top-line growth without hallucinated or non-compliant recommendations"
"2.09","[llm-guard:output-safety-quality] Output safety and quality scanning — Evaluate and sanitize model output for bias, sensitive content, relevance, factual consistency, refusal, malicious URLs, language, format, and toxicity.","Content guardrails","LiteLLM, Presidio, LLM Guard","Verify Content guardrails “Output safety and quality scanning” within: CRM + Core Banking + product rules → compliant cross-sell recommendation","Direct top-line growth without hallucinated or non-compliant recommendations"
"2.10","[llm-guard:prompt-sanitization] Prompt sanitization and sensitive-data protection — Detect and redact PII, secrets, credentials, and configured text patterns before a model sees them.","Content guardrails","LiteLLM, Presidio, LLM Guard","Verify Content guardrails “Prompt sanitization and sensitive-data protection” within: CRM + Core Banking + product rules → compliant cross-sell recommendation","Direct top-line growth without hallucinated or non-compliant recommendations"
"2.11","[llm-guard:prompt-threat-scanning] Prompt threat and content classification — Detect injection, toxicity, gibberish, language, banned content, code, and request-size risks.","Content guardrails","LiteLLM, Presidio, LLM Guard","Verify Content guardrails “Prompt threat and content classification” within: CRM + Core Banking + product rules → compliant cross-sell recommendation","Direct top-line growth without hallucinated or non-compliant recommendations"
"2.12","[llm-guard:scanner-policy-lifecycle] Scanner configuration and lifecycle — Select scanners, tune thresholds and parameters, suppress scanners per request, and roll out policy safely.","Content guardrails","LiteLLM, Presidio, LLM Guard","Verify Content guardrails “Scanner configuration and lifecycle” within: CRM + Core Banking + product rules → compliant cross-sell recommendation","Direct top-line growth without hallucinated or non-compliant recommendations"
"2.13","[postgres:extensions-vector] Extensions and vector SQL — Install and operate approved PostgreSQL extensions such as pgvector.","PostgreSQL","LiteLLM, Presidio, LLM Guard","Verify PostgreSQL “Extensions and vector SQL” within: CRM + Core Banking + product rules → compliant cross-sell recommendation","Direct top-line growth without hallucinated or non-compliant recommendations"
"2.14","[presidio:advanced-anonymizers] Mask, hash, encrypt, redact, and custom operators — Apply an anonymizer operator per entity instead of fixed replacement markers.","Presidio","LiteLLM, Presidio, LLM Guard","Verify Presidio “Mask, hash, encrypt, redact, and custom operators” within: CRM + Core Banking + product rules → compliant cross-sell recommendation","Direct top-line growth without hallucinated or non-compliant recommendations"
"2.15","[presidio:confidence-thresholds] Global and per-entity thresholds — Set an org floor and stricter or looser thresholds by entity type.","Presidio","LiteLLM, Presidio, LLM Guard","Verify Presidio “Global and per-entity thresholds” within: CRM + Core Banking + product rules → compliant cross-sell recommendation","Direct top-line growth without hallucinated or non-compliant recommendations"
"2.16","[presidio:deny-lists] Custom deny lists — Flag fixed org-specific terms as a named PII entity.","Presidio","LiteLLM, Presidio, LLM Guard","Verify Presidio “Custom deny lists” within: CRM + Core Banking + product rules → compliant cross-sell recommendation","Direct top-line growth without hallucinated or non-compliant recommendations"
"2.17","[presidio:languages] Language selection and multilingual analysis — Choose a supported language and recognizer set for each analysis request.","Presidio","LiteLLM, Presidio, LLM Guard","Verify Presidio “Language selection and multilingual analysis” within: CRM + Core Banking + product rules → compliant cross-sell recommendation","Direct top-line growth without hallucinated or non-compliant recommendations"
"2.18","[presidio:pattern-recognizers] Custom pattern recognizers — Create org-scoped regex and context recognizers and send them per analyze request.","Presidio","LiteLLM, Presidio, LLM Guard","Verify Presidio “Custom pattern recognizers” within: CRM + Core Banking + product rules → compliant cross-sell recommendation","Direct top-line growth without hallucinated or non-compliant recommendations"
"2.19","[presidio:replace-anonymization] Replacement anonymization — Send analyzed spans to the anonymizer and replace values with entity markers.","Presidio","LiteLLM, Presidio, LLM Guard","Verify Presidio “Replacement anonymization” within: CRM + Core Banking + product rules → compliant cross-sell recommendation","Direct top-line growth without hallucinated or non-compliant recommendations"
"2.20","[presidio:text-analysis] Text entity analysis — Detect built-in PII entities and return typed spans with confidence scores.","Presidio","LiteLLM, Presidio, LLM Guard","Verify Presidio “Text entity analysis” within: CRM + Core Banking + product rules → compliant cross-sell recommendation","Direct top-line growth without hallucinated or non-compliant recommendations"
"2.21","[qdrant:collections] Collection lifecycle — Create, inspect, configure, and delete vector collections.","Qdrant","LiteLLM, Presidio, LLM Guard","Verify Qdrant “Collection lifecycle” within: CRM + Core Banking + product rules → compliant cross-sell recommendation","Direct top-line growth without hallucinated or non-compliant recommendations"
"2.22","[qdrant:payload-filtering] Payload schema and filtering — Filter retrieval by tenant, source, and metadata and manage payload indexes.","Qdrant","LiteLLM, Presidio, LLM Guard","Verify Qdrant “Payload schema and filtering” within: CRM + Core Banking + product rules → compliant cross-sell recommendation","Direct top-line growth without hallucinated or non-compliant recommendations"
"2.23","[qdrant:points-search] Point upsert and similarity search — Write embedded records and retrieve nearest matches with payloads.","Qdrant","LiteLLM, Presidio, LLM Guard","Verify Qdrant “Point upsert and similarity search” within: CRM + Core Banking + product rules → compliant cross-sell recommendation","Direct top-line growth without hallucinated or non-compliant recommendations"
"3","Governed action/write-back into existing systems—not merely advice","Off Grid connector/action runtime; Kestra for broader orchestration","Temporal, OPA, enterprise APIs","Delinquency recommendation → approval → CRM task/write-back → outcome tracking","Converts AI into completed work; improves cure rate and collector capacity"
"3.01","[enterprise-source-crm:write-sync-webhooks] Writes, pagination, sync, and webhooks — Create/update records, traverse pagination, perform incremental sync, and receive changes.","Existing CRM","Temporal, OPA, enterprise APIs","Verify CRM “Writes, pagination, sync, and webhooks” within: Delinquency recommendation → approval → CRM task/write-back → outcome tracking","Converts AI into completed work; improves cure rate and collector capacity"
"3.02","[kestra:executions] Execution run, retry, resume, and cancel — Trigger flows and operate execution state with logs and outputs.","Kestra","Temporal, OPA, enterprise APIs","Verify Kestra “Execution run, retry, resume, and cancel” within: Delinquency recommendation → approval → CRM task/write-back → outcome tracking","Converts AI into completed work; improves cure rate and collector capacity"
"3.03","[kestra:flows] Flow CRUD and versioning — Create, inspect, update, version, and delete declarative workflows.","Kestra","Temporal, OPA, enterprise APIs","Verify Kestra “Flow CRUD and versioning” within: Delinquency recommendation → approval → CRM task/write-back → outcome tracking","Converts AI into completed work; improves cure rate and collector capacity"
"3.04","[kestra:namespaces-secrets-plugins] Namespaces, secrets, plugins, and worker operations — Govern namespaces, variables, secrets, plugin catalogs, workers, and queues.","Kestra","Temporal, OPA, enterprise APIs","Verify Kestra “Namespaces, secrets, plugins, and worker operations” within: Delinquency recommendation → approval → CRM task/write-back → outcome tracking","Converts AI into completed work; improves cure rate and collector capacity"
"4","Real-time event-to-decision-to-action processing","Redpanda","Schema Registry, Temporal, Kestra","Delinquency/claim event → prioritization → governed action within seconds","Intervene before delinquency rolls forward; detect claim/fraud risk immediately"
"4.01","[enterprise-source-kafka:offsets-security] Offsets, ACLs, and source operations — Manage durable offsets, lag, principals, ACLs, and quotas for ingestion.","Existing Kafka-compatible event source","Schema Registry, Temporal, Kestra","Verify Kafka-compatible Events “Offsets, ACLs, and source operations” within: Delinquency/claim event → prioritization → governed action within seconds","Intervene before delinquency rolls forward; detect claim/fraud risk immediately"
"4.02","[enterprise-source-kafka:schemas-topics] Topic and schema discovery — Discover topics, partitions, schemas, and compatibility policy for source onboarding.","Existing Kafka-compatible event source","Schema Registry, Temporal, Kestra","Verify Kafka-compatible Events “Topic and schema discovery” within: Delinquency/claim event → prioritization → governed action within seconds","Intervene before delinquency rolls forward; detect claim/fraud risk immediately"
"4.03","[enterprise-source-kafka:source-produce-consume] Source event produce and consume — Publish and consume banking, claim, and CRM source events.","Existing Kafka-compatible event source","Schema Registry, Temporal, Kestra","Verify Kafka-compatible Events “Source event produce and consume” within: Delinquency/claim event → prioritization → governed action within seconds","Intervene before delinquency rolls forward; detect claim/fraud risk immediately"
"4.04","[kestra:triggers-schedules] Schedules, webhooks, and event triggers — Run flows on time, API, and event triggers.","Kestra","Schema Registry, Temporal, Kestra","Verify Kestra “Schedules, webhooks, and event triggers” within: Delinquency/claim event → prioritization → governed action within seconds","Intervene before delinquency rolls forward; detect claim/fraud risk immediately"
"4.05","[streaming:advanced-cluster-ops] Partition movement, maintenance, and tiered storage — Operate rebalancing, reassignment, maintenance mode, and remote storage.","Redpanda","Schema Registry, Temporal, Kestra","Verify Redpanda “Partition movement, maintenance, and tiered storage” within: Delinquency/claim event → prioritization → governed action within seconds","Intervene before delinquency rolls forward; detect claim/fraud risk immediately"
"4.06","[streaming:bfsi-stream-proof] Lender and insurance stream proof — Register a JSON contract, publish and consume a correlated event, and report partition/offset evidence.","Redpanda","Schema Registry, Temporal, Kestra","Verify Redpanda “Lender and insurance stream proof” within: Delinquency/claim event → prioritization → governed action within seconds","Intervene before delinquency rolls forward; detect claim/fraud risk immediately"
"4.07","[streaming:cluster-health] Cluster and broker health — Inspect cluster health, broker membership, and boundary reachability.","Redpanda","Schema Registry, Temporal, Kestra","Verify Redpanda “Cluster and broker health” within: Delinquency/claim event → prioritization → governed action within seconds","Intervene before delinquency rolls forward; detect claim/fraud risk immediately"
"4.08","[streaming:consume-records] Consume correlated JSON records — Poll a bounded temporary consumer for a correlation-specific event.","Redpanda","Schema Registry, Temporal, Kestra","Verify Redpanda “Consume correlated JSON records” within: Delinquency/claim event → prioritization → governed action within seconds","Intervene before delinquency rolls forward; detect claim/fraud risk immediately"
"4.09","[streaming:consumer-groups-offsets] Consumer groups and offsets — Inspect lag, reset offsets, and manage durable groups.","Redpanda","Schema Registry, Temporal, Kestra","Verify Redpanda “Consumer groups and offsets” within: Delinquency/claim event → prioritization → governed action within seconds","Intervene before delinquency rolls forward; detect claim/fraud risk immediately"
"4.10","[streaming:produce-records] Produce JSON records — Publish keyed or unkeyed JSON through the native Kafka protocol.","Redpanda","Schema Registry, Temporal, Kestra","Verify Redpanda “Produce JSON records” within: Delinquency/claim event → prioritization → governed action within seconds","Intervene before delinquency rolls forward; detect claim/fraud risk immediately"
"4.11","[streaming:schema-registry] Schema Registry lifecycle — List subjects, register AVRO, JSON, or Protobuf versions, and delete subjects or versions.","Redpanda","Schema Registry, Temporal, Kestra","Verify Redpanda “Schema Registry lifecycle” within: Delinquency/claim event → prioritization → governed action within seconds","Intervene before delinquency rolls forward; detect claim/fraud risk immediately"
"4.12","[streaming:security-quotas] ACLs, users, and quotas — Manage principals, topic ACLs, and client quotas.","Redpanda","Schema Registry, Temporal, Kestra","Verify Redpanda “ACLs, users, and quotas” within: Delinquency/claim event → prioritization → governed action within seconds","Intervene before delinquency rolls forward; detect claim/fraud risk immediately"
"4.13","[streaming:topic-inventory] Topic and partition inventory — List topics with partition, leader, and replica placement.","Redpanda","Schema Registry, Temporal, Kestra","Verify Redpanda “Topic and partition inventory” within: Delinquency/claim event → prioritization → governed action within seconds","Intervene before delinquency rolls forward; detect claim/fraud risk immediately"
"4.14","[streaming:topic-lifecycle] Topic create, configure, and delete — Create topics, increase partitions, change retention, and delete with exact-name confirmation.","Redpanda","Schema Registry, Temporal, Kestra","Verify Redpanda “Topic create, configure, and delete” within: Delinquency/claim event → prioritization → governed action within seconds","Intervene before delinquency rolls forward; detect claim/fraud risk immediately"
"5","Continuous AI QA and production release gating","Ragas + Evidently","Langfuse, Great Expectations, OpenTelemetry","Golden cases → faithfulness/relevance → drift/performance checks → block or approve release","Makes enterprise AI reliable, measurable and governable over time"
"5.01","[data-quality:actions-alerting] Checkpoint actions and alerting — Trigger notifications, persisted results, and downstream actions after validation.","Data Quality","Langfuse, Great Expectations, OpenTelemetry","Verify Data Quality “Checkpoint actions and alerting” within: Golden cases → faithfulness/relevance → drift/performance checks → block or approve release","Makes enterprise AI reliable, measurable and governable over time"
"5.02","[data-quality:checkpoint-rules] Dataset checkpoint rules — Evaluate column existence, nullability, uniqueness, allowed sets, and numeric ranges.","Data Quality","Langfuse, Great Expectations, OpenTelemetry","Verify Data Quality “Dataset checkpoint rules” within: Golden cases → faithfulness/relevance → drift/performance checks → block or approve release","Makes enterprise AI reliable, measurable and governable over time"
"5.03","[data-quality:datasources-profiling] Data sources, profiling, and validation history — Connect data assets, profile columns, and compare validation results over time.","Data Quality","Langfuse, Great Expectations, OpenTelemetry","Verify Data Quality “Data sources, profiling, and validation history” within: Golden cases → faithfulness/relevance → drift/performance checks → block or approve release","Makes enterprise AI reliable, measurable and governable over time"
"5.04","[data-quality:suite-persistence] Expectation suite lifecycle — Create, version, edit, and delete named expectation suites in a persistent store.","Data Quality","Langfuse, Great Expectations, OpenTelemetry","Verify Data Quality “Expectation suite lifecycle” within: Golden cases → faithfulness/relevance → drift/performance checks → block or approve release","Makes enterprise AI reliable, measurable and governable over time"
"5.05","[evidently:column-overrides] Per-column method overrides — Choose per-column tests and tune the dataset drift-share threshold.","Evidently","Langfuse, Great Expectations, OpenTelemetry","Verify Evidently “Per-column method overrides” within: Golden cases → faithfulness/relevance → drift/performance checks → block or approve release","Makes enterprise AI reliable, measurable and governable over time"
"5.06","[evidently:data-quality] Data quality preset — Check missing, duplicated, constant, and out-of-range behavior.","Evidently","Langfuse, Great Expectations, OpenTelemetry","Verify Evidently “Data quality preset” within: Golden cases → faithfulness/relevance → drift/performance checks → block or approve release","Makes enterprise AI reliable, measurable and governable over time"
